State,Year,Month,Beverage,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
Arkansas,2017,10 Oct,Wine,42540,2455022,1.73,,
Colorado,2017,10 Oct,Wine,206278,4634346,4.45,,
Connecticut,2017,10 Oct,Wine,176972,3015481,5.87,,
Florida,2017,10 Oct,Wine,843762,17722275,4.76,,
Illinois,2017,10 Oct,Wine,422007,10556100,4.0,,
Kentucky,2017,10 Oct,Wine,60213,3670568,1.64,,
Louisiana,2017,10 Oct,Wine,118239,3807282,3.11,,
Massachusetts,2017,10 Oct,Wine,288639,5815595,4.96,,
Missouri,2017,10 Oct,Wine,184289,5037634,3.66,,
North Dakota,2017,10 Oct,Wine,18212,613251,2.97,,
Oregon,2017,10 Oct,Wine,176197,3468412,5.08,,
Texas,2017,10 Oct,Wine,613728,22572383,2.72,,
Virginia,2017,10 Oct,Wine,309324,7015247,4.41,,
Wisconsin,2017,10 Oct,Wine,173415,4805415,3.61,,
Alaska,2017,10 Oct,Beer,44904,593378,7.57,,
Arkansas,2017,10 Oct,Beer,191956,2455022,7.82,,
Colorado,2017,10 Oct,Beer,403754,4634346,8.71,,
Connecticut,2017,10 Oct,Beer,190022,3015481,6.3,,
Florida,2017,10 Oct,Beer,1522546,17722275,8.59,,
Illinois,2017,10 Oct,Beer,916924,10556100,8.69,,
Kansas,2017,10 Oct,Beer,194037,2356231,8.24,,
Kentucky,2017,10 Oct,Beer,280657,3670568,7.65,,
